StudyID,SubjectID,Condition ,Session ,Trial,StartTimeOfResponse ,IRT ,ReinforcerCutOFF,SessionCutOFF
Exp1,9,Brief,ContextA,1,0,2.11,0,0
Exp1,9,Brief,ContextA,2,2.11,2.84,0,0
Exp1,9,Brief,ContextA,3,4.95,0.65,0,0
Exp1,9,Brief,ContextA,4,5.6,3.1,0,0
Exp1,9,Brief,ContextA,5,8.7,0.52,0,0
Exp1,9,Brief,ContextA,6,9.22,1.63,0,0
Exp1,9,Brief,ContextA,7,10.85,4.14,0,0
Exp1,9,Brief,ContextA,8,14.99,0.62,0,0
Exp1,9,Brief,ContextA,9,15.61,1.68,0,0
Exp1,9,Brief,ContextA,10,17.29,1.22,0,0
Exp1,9,Brief,ContextA,11,18.51,0.83,0,0
Exp1,9,Brief,ContextA,12,19.34,2.15,0,0
Exp1,9,Brief,ContextA,13,21.49,0.59,0,0
Exp1,9,Brief,ContextA,14,22.08,3.07,0,0
Exp1,9,Brief,ContextA,15,25.15,1.06,0,0
Exp1,9,Brief,ContextA,16,26.21,5.52,0,0
Exp1,9,Brief,ContextA,17,31.73,0.47,0,0
Exp1,9,Brief,ContextA,18,32.2,1.55,0,0
Exp1,9,Brief,ContextA,19,33.75,8.55,0,0
Exp1,9,Brief,ContextA,20,42.3,1.45,0,0
Exp1,9,Brief,ContextA,21,43.75,5.43,0,0
Exp1,9,Brief,ContextA,22,49.18,4.84,0,0
Exp1,9,Brief,ContextA,23,54.02,1.03,0,0
Exp1,9,Brief,ContextA,24,55.05,0.5,0,0
Exp1,9,Brief,ContextA,25,55.55,1,0,0
Exp1,9,Brief,ContextA,26,56.55,4.8,0,0
Exp1,9,Brief,ContextA,27,61.35,0.98,0,0
Exp1,9,Brief,ContextA,28,62.33,1.82,0,0
Exp1,9,Brief,ContextA,29,64.15,5.02,0,0
Exp1,9,Brief,ContextA,30,69.17,0.84,0,0
Exp1,9,Brief,ContextA,31,70.01,1.04,0,0
Exp1,9,Brief,ContextA,32,71.05,0.21,0,0
Exp1,9,Brief,ContextA,33,71.26,2.97,0,0
Exp1,9,Brief,ContextA,34,74.23,10.21,0,0
Exp1,9,Brief,ContextA,35,84.44,0.65,0,0
Exp1,9,Brief,ContextA,36,85.09,0.62,0,0
Exp1,9,Brief,ContextA,37,85.71,1.11,0,0
Exp1,9,Brief,ContextA,38,86.82,1.15,0,0
Exp1,9,Brief,ContextA,39,87.97,2.38,0,0
Exp1,9,Brief,ContextA,40,90.35,0.55,0,0
Exp1,9,Brief,ContextA,41,90.9,0.39,0,0
Exp1,9,Brief,ContextA,42,91.29,0.7,0,0
Exp1,9,Brief,ContextA,43,91.99,0.87,0,0
Exp1,9,Brief,ContextA,44,92.86,0.68,0,0
Exp1,9,Brief,ContextA,45,93.54,8.49,0,0
Exp1,9,Brief,ContextA,46,102.03,6.28,0,0
Exp1,9,Brief,ContextA,47,108.31,4.82,0,0
Exp1,9,Brief,ContextA,48,113.13,2.15,0,0
Exp1,9,Brief,ContextA,49,115.28,0.44,0,0
Exp1,9,Brief,ContextA,50,115.72,2.88,0,0
Exp1,9,Brief,ContextA,51,118.6,0.7,0,0
Exp1,9,Brief,ContextA,52,119.3,13.21,0,0
Exp1,9,Brief,ContextA,53,132.51,11.51,0,0
Exp1,9,Brief,ContextA,54,144.02,0.77,0,0
Exp1,9,Brief,ContextA,55,144.79,0.84,0,0
Exp1,9,Brief,ContextA,56,145.63,4.49,0,0
Exp1,9,Brief,ContextA,57,150.12,4.16,0,0
Exp1,9,Brief,ContextA,58,154.28,3.25,0,0
Exp1,9,Brief,ContextA,59,157.53,0.32,0,0
Exp1,9,Brief,ContextA,60,157.85,2.68,0,0
Exp1,9,Brief,ContextA,61,160.53,12.16,0,0
Exp1,9,Brief,ContextA,62,172.69,1.09,0,0
Exp1,9,Brief,ContextA,63,173.78,1.02,0,0
Exp1,9,Brief,ContextA,64,174.8,0.91,0,0
Exp1,9,Brief,ContextA,65,175.71,1.24,0,0
Exp1,9,Brief,ContextA,66,176.95,6.8,0,0
Exp1,9,Brief,ContextA,67,183.75,0.81,0,0
Exp1,9,Brief,ContextA,68,184.56,2.39,0,0
Exp1,9,Brief,ContextA,69,186.95,3.6,0,0
Exp1,9,Brief,ContextA,70,190.55,0.64,0,0
Exp1,9,Brief,ContextA,71,191.19,4.47,0,0
Exp1,9,Brief,ContextA,72,195.66,1.16,0,0
Exp1,9,Brief,ContextA,73,196.82,5.02,0,0
Exp1,9,Brief,ContextA,74,201.84,0.46,0,0
Exp1,9,Brief,ContextA,75,202.3,0.26,0,0
Exp1,9,Brief,ContextA,76,202.56,3.47,0,0
Exp1,9,Brief,ContextA,77,206.03,0.55,0,0
Exp1,9,Brief,ContextA,78,206.58,11.94,0,0
Exp1,9,Brief,ContextA,79,218.52,0.88,0,0
Exp1,9,Brief,ContextA,80,219.4,2.58,0,0
Exp1,9,Brief,ContextA,81,221.98,16.28,0,0
Exp1,9,Brief,ContextA,82,238.26,1.31,0,0
Exp1,9,Brief,ContextA,83,239.57,0.87,0,0
Exp1,9,Brief,ContextA,84,240.44,2,0,0
Exp1,9,Brief,ContextA,85,242.44,8.77,0,0
Exp1,9,Brief,ContextA,86,251.21,0.55,0,0
Exp1,9,Brief,ContextA,87,251.76,0.39,0,0
Exp1,9,Brief,ContextA,88,252.15,1.5,0,0
Exp1,9,Brief,ContextA,89,253.65,0.76,0,0
Exp1,9,Brief,ContextA,90,254.41,0.54,0,0
Exp1,9,Brief,ContextA,91,254.95,9.82,0,0
Exp1,9,Brief,ContextA,92,264.77,1.11,0,0
Exp1,9,Brief,ContextA,93,265.88,0.64,0,0
Exp1,9,Brief,ContextA,94,266.52,0.65,0,0
Exp1,9,Brief,ContextA,95,267.17,0.35,0,0
Exp1,9,Brief,ContextA,96,267.52,0.45,0,0
Exp1,9,Brief,ContextA,97,267.97,1.59,0,0
Exp1,9,Brief,ContextA,98,269.56,4.83,0,0
Exp1,9,Brief,ContextA,99,274.39,5.56,0,0
Exp1,9,Brief,ContextA,100,279.95,1.9,0,0
Exp1,9,Brief,ContextA,101,281.85,2.05,0,0
Exp1,9,Brief,ContextA,102,283.9,0.66,0,0
Exp1,9,Brief,ContextA,103,284.56,5.63,0,0
Exp1,9,Brief,ContextA,104,290.19,6.73,0,0
Exp1,9,Brief,ContextA,105,296.92,2.69,0,0
Exp1,9,Brief,ContextA,106,299.61,0.47,0,0
Exp1,9,Brief,ContextA,107,300.08,1.68,0,0
Exp1,9,Brief,ContextA,108,301.76,1.14,0,0
Exp1,9,Brief,ContextA,109,302.9,8.44,0,0
Exp1,9,Brief,ContextA,110,311.34,15.39,0,0
Exp1,9,Brief,ContextA,111,326.73,0.68,0,0
Exp1,9,Brief,ContextA,112,327.41,0.82,0,0
Exp1,9,Brief,ContextA,113,328.23,1.9,0,0
Exp1,9,Brief,ContextA,114,330.13,2.03,0,0
Exp1,9,Brief,ContextA,115,332.16,17.73,0,0
