subject,analyze,Condition,Session,response_n,irt_n,StartTimeOfResponse,IRT,rnf_in_IRI,ReinforcerCutOFF
1,exclude,pfPaired,Test,1,0,53.13,0,0,0
1,exclude,pfPaired,Test,2,1,94.58,41.45,0,0
1,exclude,pfPaired,Test,3,2,111.43,16.85,0,0
1,exclude,pfPaired,Test,4,3,111.94,0.51,0,0
1,exclude,pfPaired,Test,5,4,114.2,2.26,0,0
1,exclude,pfPaired,Test,6,5,117.66,3.46,0,0
1,exclude,pfPaired,Test,7,6,169.27,51.61,0,0
1,exclude,pfPaired,Test,8,7,266.39,97.12,0,0
1,exclude,pfPaired,Test,9,8,267.17,0.78,0,0
1,exclude,pfPaired,Test,10,9,275.63,8.46,0,0
1,exclude,pfPaired,Test,11,10,278.06,2.43,0,0
1,exclude,pfPaired,Test,12,11,278.69,0.63,0,0
1,exclude,pfPaired,Test,13,12,287.39,8.7,0,0
1,exclude,pfPaired,Test,14,13,289.56,2.17,0,0
1,exclude,pfPaired,Test,15,14,290.11,0.55,0,0
1,exclude,pfPaired,Test,16,15,321.98,31.87,0,0
1,exclude,pfPaired,Test,17,16,328.03,6.05,0,0
1,exclude,pfPaired,Test,18,17,376.93,48.9,0,0
1,exclude,pfPaired,Test,19,18,441.55,64.62,0,0
1,exclude,pfPaired,Test,19,19,441.55,158.45,0,1
9,include,noUnpaired,Test,1,0,2.79,0,0,0
9,include,noUnpaired,Test,2,1,3.64,0.85,0,0
9,include,noUnpaired,Test,3,2,4.74,1.1,0,0
9,include,noUnpaired,Test,4,3,6.46,1.72,0,0
9,include,noUnpaired,Test,5,4,6.68,0.22,0,0
9,include,noUnpaired,Test,6,5,7.11,0.43,0,0
9,include,noUnpaired,Test,7,6,7.42,0.31,0,0
9,include,noUnpaired,Test,8,7,9.92,2.5,0,0
9,include,noUnpaired,Test,9,8,11.98,2.06,0,0
9,include,noUnpaired,Test,10,9,25.97,13.99,0,0
9,include,noUnpaired,Test,11,10,26.48,0.51,0,0
9,include,noUnpaired,Test,12,11,26.72,0.24,0,0
9,include,noUnpaired,Test,13,12,54.92,28.2,0,0
9,include,noUnpaired,Test,14,13,55.27,0.35,0,0
9,include,noUnpaired,Test,15,14,55.44,0.17,0,0
9,include,noUnpaired,Test,16,15,55.6,0.16,0,0
9,include,noUnpaired,Test,17,16,56.36,0.76,0,0
9,include,noUnpaired,Test,18,17,56.49,0.13,0,0
9,include,noUnpaired,Test,19,18,64.77,8.28,0,0
9,include,noUnpaired,Test,20,19,64.97,0.2,0,0
9,include,noUnpaired,Test,21,20,65.14,0.17,0,0
9,include,noUnpaired,Test,22,21,65.8,0.66,0,0
9,include,noUnpaired,Test,23,22,93.87,28.07,0,0
9,include,noUnpaired,Test,24,23,94.11,0.24,0,0
9,include,noUnpaired,Test,25,24,94.35,0.24,0,0
9,include,noUnpaired,Test,26,25,94.52,0.17,0,0
9,include,noUnpaired,Test,27,26,94.75,0.23,0,0
9,include,noUnpaired,Test,28,27,95.14,0.39,0,0
9,include,noUnpaired,Test,29,28,95.62,0.48,0,0
9,include,noUnpaired,Test,30,29,95.79,0.17,0,0
9,include,noUnpaired,Test,31,30,96.13,0.34,0,0
9,include,noUnpaired,Test,32,31,96.61,0.48,0,0
9,include,noUnpaired,Test,33,32,96.91,0.3,0,0
9,include,noUnpaired,Test,34,33,98.06,1.15,0,0
9,include,noUnpaired,Test,35,34,98.63,0.57,0,0
